Ano,Mês,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std
2006,12,0.45965,0.4184,0.5009,0.058336309447890186,0.40165,0.3983,0.405,0.0047376154339498966
2007,1,0.4194,0.2156,0.6232,0.2882167240116367,0.47404999999999997,0.4611,0.487,0.018314065632731587
2007,2,0.51835,0.5132,0.5235,0.0072831998462214225,0.4926,0.4886,0.4966,0.005656854249492385
2007,3,0.44530000000000003,0.3884,0.5022,0.0804687516990291,0.4847,0.4507,0.5187,0.048083261120685276
2007,4,0.47675,0.4349,0.5186,0.05918483758531397,0.4374,0.4313,0.4435,0.008626702730475872
2007,5,0.39555,0.3563,0.4348,0.05550788232314399,0.4101,0.3997,0.4205,0.014707821048680198
2007,6,0.3732,0.351,0.3954,0.031395541084682704,0.3895,0.383,0.396,0.009192388155425127
2007,7,0.43674999999999997,0.3593,0.5142,0.10953084040579622,0.4066,0.4055,0.4077,0.0015556349186103902
2007,8,0.3964,0.3585,0.4343,0.053598694013940344,0.40935,0.4083,0.4104,0.0014849242404917434
2007,9,0.37705,0.3573,0.3968,0.027930717856868615,0.3964,0.3826,0.4102,0.019516147160748704
2007,10,0.413,0.413,0.413,,0.4097,0.4097,0.4097,
2007,11,0.40505,0.3567,0.4534,0.06837722574073915,0.42345,0.3986,0.4483,0.03514320702497139
2007,12,0.44155,0.3943,0.4888,0.06682159082212877,0.4281,0.4251,0.4311,0.004242640687119289
2008,1,0.3607,0.1889,0.5325,0.24296189001569773,0.3857,0.3856,0.3858,0.00014142135623729392
2008,2,0.3669,0.2304,0.5034,0.19304015126392748,0.38434999999999997,0.3779,0.3908,0.00912167747730646
2008,3,0.48595,0.4368,0.5351,0.0695085965906376,0.4128,0.3912,0.4344,0.030547012947258863
2008,4,0.39115,0.3841,0.3982,0.009970205614730322,0.4214,0.4128,0.43,0.012162236636408611
2008,5,0.41569999999999996,0.4088,0.4226,0.00975807358037432,0.395,0.3884,0.4016,0.00933380951166242
2008,6,0.4022,0.3868,0.4176,0.0217788888605457,0.4219,0.4167,0.4271,0.00735391052434007
2008,7,0.45355,0.4507,0.4564,0.004030508652763329,0.4337,0.4312,0.4362,0.003535533905932721
2008,8,0.43055,0.4183,0.4428,0.01732411613907041,0.44415000000000004,0.4408,0.4475,0.004737615433949877
2008,9,0.4587,0.4417,0.4757,0.024041630560342638,0.4495,0.4413,0.4577,0.011596551211459359
2008,10,0.46455,0.4329,0.4962,0.044759859249108414,0.45994999999999997,0.4561,0.4638,0.005444722215136425
2008,11,0.4872,0.4872,0.4872,,0.4968,0.4968,0.4968,
2008,12,0.47825,0.4181,0.5384,0.08506494577674165,0.4773,0.4626,0.492,0.020788939366884484
2009,1,0.428,0.3032,0.5528,0.17649385258416223,0.4479,0.4388,0.457,0.012869343417595162
2009,2,0.44595,0.363,0.5289,0.11730901499884827,0.429,0.4095,0.4485,0.027577164466275377
2009,3,0.4113,0.3008,0.5218,0.156270598642227,0.41575,0.4027,0.4288,0.0184554869889689
2009,4,0.40690000000000004,0.3629,0.4509,0.06222539674441618,0.4147,0.4021,0.4273,0.017819090885900998
2009,5,0.471,0.468,0.474,0.004242640687119269,0.44565,0.422,0.4693,0.0334461507501237
2009,6,0.4493,0.3964,0.5022,0.07481189744953673,0.46399999999999997,0.4506,0.4774,0.018950461735799447
2009,7,0.44735,0.4201,0.4746,0.0385373195746669,0.433,0.4321,0.4339,0.0012727922061358025
2009,8,0.39155,0.3406,0.4425,0.07205418100290918,0.4074,0.3978,0.417,0.013576450198781708
2009,9,0.41085000000000005,0.3577,0.464,0.07516545084013003,0.4492,0.4191,0.4793,0.04256782822743018
2009,10,0.5078,0.5078,0.5078,,0.4429,0.4429,0.4429,
2009,11,0.5112,0.4884,0.534,0.03224406922210657,0.4526,0.435,0.4702,0.02489015869776648
2009,12,0.43305,0.1773,0.6888,0.36168511857691904,0.48565,0.4786,0.4927,0.009970205614730322
2010,1,0.51025,0.4235,0.597,0.12268302653586599,0.50295,0.493,0.5129,0.014071424945612317
2010,2,0.4921,0.4686,0.5156,0.033234018715767685,0.4881,0.4461,0.5301,0.05939696961966999
2010,3,0.4518,0.4496,0.454,0.0031112698372208394,0.4622,0.4549,0.4695,0.010323759005323556
2010,4,0.47759999999999997,0.4286,0.5266,0.06929646455628163,0.47735,0.4733,0.4814,0.005727564927611032
2010,5,0.47609999999999997,0.4552,0.497,0.02955706345359771,0.44820000000000004,0.4308,0.4656,0.024607315985291874
2010,6,0.34240000000000004,0.2782,0.4066,0.09079251070435274,0.3954,0.3879,0.4029,0.010606601717798163
2010,7,0.4155,0.3786,0.4524,0.05218448045156725,0.38995,0.3884,0.3915,0.0021920310216782916
2010,8,0.43335,0.3908,0.4759,0.06017478707897522,0.44335,0.4247,0.462,0.026375082938258222
2010,9,0.46065,0.4458,0.4755,0.021001071401240443,0.4415,0.4311,0.4519,0.014707821048680217
2010,10,0.4605,0.4605,0.4605,,0.4329,0.4329,0.4329,
2010,11,0.41125,0.3905,0.432,0.02934493141924171,0.4558,0.4542,0.4574,0.0022627416997969383
2010,12,0.52695,0.5257,0.5282,0.0017677669529664489,0.49649999999999994,0.4866,0.5064,0.01400071426749365
2011,1,0.55455,0.517,0.5921,0.053103719267109675,0.5618,0.5498,0.5738,0.016970562748477157
2011,2,0.5697,0.5059,0.6335,0.09022682527940341,0.5064,0.495,0.5178,0.016122034611053274
2011,3,0.37265000000000004,0.2559,0.4894,0.16510943340705883,0.4522,0.4415,0.4629,0.0151320851173921
2011,4,0.44484999999999997,0.4289,0.4608,0.022556706319850833,0.42975,0.4288,0.4307,0.0013435028842544493
2011,5,0.43445,0.3952,0.4737,0.05550788232314399,0.44435,0.4323,0.4564,0.017041273426595782
2011,6,0.41990000000000005,0.3662,0.4736,0.07594326829943522,0.43065,0.4272,0.4341,0.004879036790187132
2011,7,0.4427,0.4057,0.4797,0.052325901807804505,0.4128,0.4058,0.4198,0.009899494936611674
2011,8,0.3941,0.3796,0.4086,0.020506096654409896,0.4004,0.3934,0.4074,0.009899494936611655
2011,9,0.42355,0.3612,0.4859,0.08817621561396248,0.42469999999999997,0.4127,0.4367,0.016970562748477136
2011,10,0.4889,0.4889,0.4889,,0.4915,0.4915,0.4915,
2011,11,0.512,0.5073,0.5167,0.0066468037431536,0.52995,0.521,0.5389,0.01265721138323922
2011,12,0.55545,0.471,0.6399,0.11943033534240792,0.54335,0.5398,0.5469,0.005020458146424563
2012,1,0.54075,0.5175,0.564,0.03288046532517445,0.5334,0.5277,0.5391,0.008061017305526696
2012,2,0.5028,0.4863,0.5193,0.02333452377915607,0.50875,0.5038,0.5137,0.007000357133746834
2012,3,0.483,0.4667,0.4993,0.023051681066681443,0.4858,0.4805,0.4911,0.007495331880577423
2012,4,0.4706,0.4501,0.4911,0.028991378028648453,0.46885,0.4656,0.4721,0.0045961940777125435
2012,5,0.4521,0.418,0.4862,0.04822468247692257,0.4567,0.4525,0.4609,0.0059396969619669735
2012,6,0.4547,0.4511,0.4583,0.005091168824543131,0.43625,0.431,0.4415,0.007424621202458776
2012,7,0.4172,0.4045,0.4299,0.017960512242138293,0.42579999999999996,0.4211,0.4305,0.00664680374315358
2012,8,0.44355,0.4161,0.471,0.03882016228714143,0.46955,0.4426,0.4965,0.038113055505954896
2012,9,0.5077,0.4996,0.5158,0.011455129855222084,0.44615,0.4188,0.4735,0.03867874093090413
2012,10,0.2979,0.113,0.4828,0.2614880876827853,0.3885,0.3714,0.4056,0.02418305191657993
2012,11,0.3593,0.3593,0.3593,,0.345,0.345,0.345,
2012,12,0.4525,0.3646,0.5404,0.12430937213259509,0.41145,0.3834,0.4395,0.03966869042456533
2013,1,0.543,0.4641,0.6219,0.11158145007123718,0.50595,0.4974,0.5145,0.012091525958289946
2013,2,0.4732,0.4551,0.4913,0.025597265478953028,0.51275,0.4979,0.5276,0.021001071401240388
2013,3,0.5184,0.4838,0.553,0.048931789258109155,0.49544999999999995,0.4866,0.5043,0.012515790027001867
2013,4,0.4719,0.4483,0.4955,0.033375440072005054,0.5018,0.5013,0.5023,0.0007071067811865089
